episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5087,100.0,-12.161,-3.364,78.0,-13.6,-2.5,0,1,0,1,0,1,0,1,1,0,0,0,-0.0039999999999995595,0.0,1.5389999999999997,0.0,1,0,8,22
5088,100.0,-12.161,-2.531,78.0,-13.6,-2.5,0,1,0,1,0,1,0,1,1,0,0,0,0.0,0.0,0.8329999999999997,0.0,1,0,8,22
5089,100.0,-12.161,-0.115,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,1,0,0,0,0.0,0.0,2.416,0.0,5,0,8,22
5090,100.0,-12.161,1.744,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,1,0,0,0,0.0,0.0,1.859,0.0,4,0,8,22
5091,100.0,-12.161,1.212,78.0,-13.6,-2.5,0,1,1,0,0,0,2,1,1,0,0,0,0.0,0.0,-0.532,0.0,6,0,8,22
5092,100.0,-12.01,-0.164,78.0,-13.6,-2.5,0,1,1,0,0,0,2,0,0,0,0,1,0.1509999999999998,0.0,-1.376,0.0,0,0,8,22
5093,100.0,-11.49,-1.54,78.0,-13.6,-2.5,0,1,1,0,0,1,2,0,0,0,0,1,0.5199999999999996,0.0,-1.3760000000000001,0.0,0,0,8,22
5094,100.0,-12.243,-2.603,78.0,-13.6,-2.5,0,1,0,1,0,1,2,3,0,0,0,1,-0.7530000000000001,0.0,-1.0630000000000002,0.0,7,0,8,22
5095,100.0,-12.131,-1.157,78.0,-13.6,-2.5,0,1,1,0,0,0,2,3,0,0,0,1,0.1120000000000001,0.0,1.4460000000000002,0.0,5,0,8,22
5096,100.0,-12.082,0.144,78.0,-13.6,-2.5,0,1,1,0,0,0,2,3,0,0,0,1,0.04899999999999949,0.0,1.301,0.0,4,0,8,22
5097,100.0,-12.047,2.673,78.0,-13.6,-2.5,0,1,1,0,0,0,1,3,0,0,0,1,0.03500000000000014,0.0,2.529,0.0,5,0,8,22
5098,100.0,-12.05,4.551,78.0,-13.6,-2.5,0,1,1,0,0,0,1,3,0,1,0,0,-0.0030000000000001137,0.0,1.8780000000000001,0.0,2,0,8,22
5099,100.0,-12.045,5.434,78.0,-13.6,-2.5,0,1,1,0,0,0,1,2,0,1,0,0,0.005000000000000782,0.0,0.883,0.0,7,0,8,22
5100,100.0,-12.046,5.614,78.0,-13.6,-2.5,0,1,1,0,0,0,1,2,0,1,0,0,-0.0009999999999994458,0.0,0.17999999999999972,0.0,2,0,8,22
5101,100.0,-11.913,5.431,78.0,-13.6,-2.5,0,1,1,0,0,0,1,2,0,0,0,1,0.13299999999999912,0.0,-0.18299999999999983,0.0,0,0,8,22
5102,100.0,-11.54,5.054,78.0,-13.6,-2.5,0,1,1,0,0,0,1,2,1,0,0,0,0.3730000000000011,0.0,-0.3769999999999998,0.0,1,0,8,22
5103,100.0,-11.326,4.56,78.0,-13.6,-2.5,0,1,1,0,0,0,0,2,1,0,0,0,0.21399999999999864,0.0,-0.49400000000000066,0.0,1,0,8,22
5104,100.0,-11.184,3.878,78.0,-13.6,-2.5,0,1,1,0,0,0,0,2,0,0,1,0,0.14200000000000124,0.0,-0.6819999999999995,0.0,3,0,8,22
5105,100.0,-11.321,2.975,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,0,1,0,0,-0.13700000000000045,0.0,-0.903,0.0,2,0,8,22
5106,100.0,-11.687,1.797,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,0,0,1,0,-0.36599999999999966,0.0,-1.1780000000000002,0.0,3,0,8,22
5107,100.0,-11.874,0.653,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,0,0,1,0,-0.18700000000000117,0.0,-1.144,0.0,4,0,8,22
5108,100.0,-12.035,-0.548,78.0,-13.6,-2.5,0,1,1,0,0,0,0,1,0,0,1,0,-0.1609999999999996,0.0,-1.201,0.0,3,0,8,22
5109,100.0,-12.011,-2.048,78.0,-13.6,-2.5,0,1,1,0,0,1,0,1,0,0,1,0,0.02400000000000091,0.0,-1.5,0.0,3,0,8,22
5110,100.0,-11.901,-3.344,78.0,-13.6,-2.5,0,1,0,1,0,1,0,1,0,0,1,0,0.10999999999999943,0.0,-1.2959999999999998,0.0,4,0,8,22
5111,100.0,-11.822,-4.643,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,0,0,1,0,0.07900000000000063,0.0,-1.299,0.0,3,0,8,22
5112,100.0,-11.776,-5.91,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,1,0,0,0,0.045999999999999375,0.0,-1.2670000000000003,0.0,1,0,8,22
5113,100.0,-11.749,-6.989,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,1,0,0,0,0.026999999999999247,0.0,-1.0789999999999997,0.0,4,0,8,22
5114,100.0,-11.395,-7.157,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,0,0,0,1,0.354000000000001,0.0,-0.16800000000000015,0.0,0,0,8,22
5115,100.0,-12.263,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,-0.8680000000000003,0.0,-0.006999999999999673,0.0,7,0,8,22
5116,100.0,-12.085,-7.117,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.17799999999999905,0.0,0.04699999999999971,0.0,0,0,8,22
5117,100.0,-12.036,-7.127,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,1,0,0,0.049000000000001265,0.0,-0.009999999999999787,0.0,2,0,8,22
